DRG Description,IP CHARGE,UNITEDHEALTHCARE ESSENTIAL PLANS 1 - 4
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma",23605.8,4087.327008
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma",23605.8,5275.610533
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma",23605.8,8836.30627
"Concussion, closed skull Fx nos,uncomplicated intracranial injury, coma < 1 hr or no coma",23605.8,25334.33502
Other disorders of nervous system,44771.72184,5263.976988
Other disorders of nervous system,44771.72184,7294.861558
Other disorders of nervous system,44771.72184,11295.1391
Other disorders of nervous system,44771.72184,28944.8888
Orbital procedures,22498.24143,7471.857635
Orbital procedures,22498.24143,11041.69402
Orbital procedures,22498.24143,17731.81336
Orbital procedures,22498.24143,20073.47977
Eye procedures except orbit,17435.83,6265.292825
Eye procedures except orbit,17435.83,7819.20205
Eye procedures except orbit,17435.83,21270.90394
Eye procedures except orbit,17435.83,22199.92561
Acute major eye infections,25525.3125,5357.045348
Acute major eye infections,25525.3125,6625.101753
Acute major eye infections,25525.3125,10853.89536
Acute major eye infections,25525.3125,12023.8976
Eye disorders except major infections,10413.57143,4856.802913
Eye disorders except major infections,10413.57143,5721.009113
Eye disorders except major infections,10413.57143,9315.774518
Eye disorders except major infections,10413.57143,9555.093158
Major cranial/facial bone procedures,98092.536,12118.6279
Major cranial/facial bone procedures,98092.536,18756.39629
Major cranial/facial bone procedures,98092.536,32449.07875
Major cranial/facial bone procedures,98092.536,57449.56696
Major larynx & trachea procedures,,7092.936455
Major larynx & trachea procedures,,19669.62957
Major larynx & trachea procedures,,34747.53486
Major larynx & trachea procedures,,94110.19112
Other major head & neck procedures,,11879.30926
Other major head & neck procedures,,24463.48108
Other major head & neck procedures,,31407.04551
Other major head & neck procedures,,35213.70762
Facial bone procedures except major cranial/facial bone procedures,26531.89479,9527.67123
Facial bone procedures except major cranial/facial bone procedures,26531.89479,12127.76854
Facial bone procedures except major cranial/facial bone procedures,26531.89479,18897.66076
Facial bone procedures except major cranial/facial bone procedures,26531.89479,61893.58115
Sinus & mastoid procedures,,8242.995475
Sinus & mastoid procedures,,11041.69402
Sinus & mastoid procedures,,20467.35837
Sinus & mastoid procedures,,23898.42318
Cleft lip & palate repair,,6746.423008
Cleft lip & palate repair,,8326.092225
Cleft lip & palate repair,,12309.75042
Cleft lip & palate repair,,21924.87536
Tonsil & adenoid procedures,8668.968,4812.761635
Tonsil & adenoid procedures,8668.968,6527.878555
Tonsil & adenoid procedures,8668.968,13080.05729
Tonsil & adenoid procedures,8668.968,33813.52739
"Other ear, nose, mouth & throat procedures",24236.63545,6478.851473
"Other ear, nose, mouth & throat procedures",24236.63545,8893.643028
"Other ear, nose, mouth & throat procedures",24236.63545,16272.63443
"Other ear, nose, mouth & throat procedures",24236.63545,35369.92951
"Ear, nose, mouth, throat, cranial/facial malignancies",,6748.91591
"Ear, nose, mouth, throat, cranial/facial malignancies",,8288.698688
"Ear, nose, mouth, throat, cranial/facial malignancies",,15526.42561
"Ear, nose, mouth, throat, cranial/facial malignancies",,30934.225
Vertigo & other labyrinth disorders,,4427.192715
Vertigo & other labyrinth disorders,,5290.567948
Vertigo & other labyrinth disorders,,7126.175155
Vertigo & other labyrinth disorders,,7241.679638
Infections of upper respiratory tract,,4014.201868
Infections of upper respiratory tract,,4922.449345
Infections of upper respiratory tract,,7259.129955
Infections of upper respiratory tract,,18126.52292
Dental & oral diseases & injuries,,4767.058423
Dental & oral diseases & injuries,,5819.894245
Dental & oral diseases & injuries,,10759.16507
Dental & oral diseases & injuries,,21294.17103
"Other ear, nose, mouth,throat & cranial/facial diagnoses",,4458.76948
"Other ear, nose, mouth,throat & cranial/facial diagnoses",,5786.655545
"Other ear, nose, mouth,throat & cranial/facial diagnoses",,9040.724275
"Other ear, nose, mouth,throat & cranial/facial diagnoses",,22575.52292
Major respiratory & chest procedures,,15187.39087
Major respiratory & chest procedures,,18331.77189
Major respiratory & chest procedures,,28745.4566
Major respiratory & chest procedures,,51401.78549
Other respiratory & chest procedures,,10833.12117
Other respiratory & chest procedures,,14312.3821
Other respiratory & chest procedures,,24418.60883
Other respiratory & chest procedures,,51121.74944
Respiratory system diagnosis w ventilator support 96+ hours,,29293.06419
Respiratory system diagnosis w ventilator support 96+ hours,,29293.06419
Respiratory system diagnosis w ventilator support 96+ hours,,36349.6402
Respiratory system diagnosis w ventilator support 96+ hours,,51252.21134
Cystic fibrosis - pulmonary disease,,12256.5685
Cystic fibrosis - pulmonary disease,,15163.29282
Cystic fibrosis - pulmonary disease,,22007.14115
Cystic fibrosis - pulmonary disease,,23503.71361
BPD & oth chronic respiratory diseases arising in perinatal period,,5693.587185
BPD & oth chronic respiratory diseases arising in perinatal period,,7306.495103
BPD & oth chronic respiratory diseases arising in perinatal period,,11738.87575
BPD & oth chronic respiratory diseases arising in perinatal period,,20739.08474
Respiratory Failure,,8446.582513
Respiratory Failure,,8462.370895
Respiratory Failure,,12146.88079
Respiratory Failure,,17550.66244
Pulmonary embolism,,6645.044973
Pulmonary embolism,,8559.594093
Pulmonary embolism,,13331.84045
Pulmonary embolism,,22032.07017
Major chest & respiratory trauma,,5090.30478
Major chest & respiratory trauma,,6779.661708
Major chest & respiratory trauma,,10982.69532
Major chest & respiratory trauma,,15877.0939
Respiratory malignancy,,5517.422075
Respiratory malignancy,,8300.332233
Respiratory malignancy,,13749.8171
Respiratory malignancy,,19848.28758
Major respiratory infections & inflammations,,6571.088865
Major respiratory infections & inflammations,,9354.82999
Major respiratory infections & inflammations,,14722.88004
Major respiratory infections & inflammations,,22494.91907
Bronchiolitis & RSV pneumonia,,4841.845498
Bronchiolitis & RSV pneumonia,,6026.805153
Bronchiolitis & RSV pneumonia,,12130.26144
Bronchiolitis & RSV pneumonia,,25915.1813
Other pneumonia,,5057.897048
Other pneumonia,,6425.669553
Other pneumonia,,10246.45812
Other pneumonia,,18819.54982
Chronic obstructive pulmonary disease,,5568.111093
Chronic obstructive pulmonary disease,,6788.80235
Chronic obstructive pulmonary disease,,9201.101003
Chronic obstructive pulmonary disease,,17162.60062
Asthma,,4724.67908
Asthma,,5918.779378
Asthma,,8581.199248
Asthma,,14515.96913
Interstitial & alveolar lung diseases,,6332.601193
Interstitial & alveolar lung diseases,,7928.058793
Interstitial & alveolar lung diseases,,11847.73249
Interstitial & alveolar lung diseases,,23903.40898
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",,5202.485393
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",,7096.260325
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",,11448.86809
"Other respiratory diagnoses except signs, symptoms & minor diagnoses",,17888.03525
"Respiratory signs, symptoms & minor diagnoses",,4551.006873
"Respiratory signs, symptoms & minor diagnoses",,5516.591108
"Respiratory signs, symptoms & minor diagnoses",,7970.438135
"Respiratory signs, symptoms & minor diagnoses",,14906.52386
Major cardiothoracic repair of heart anomaly,,26933.11649
Major cardiothoracic repair of heart anomaly,,29023.83072
Major cardiothoracic repair of heart anomaly,,40510.29447
Major cardiothoracic repair of heart anomaly,,83419.79423
Cardiac defibrillator & heart assist implant,,34146.74535
Cardiac defibrillator & heart assist implant,,51707.58153
Cardiac defibrillator & heart assist implant,,82553.09513
Cardiac defibrillator & heart assist implant,,192583.1637
Cardiac valve procedures w AMI or complex PDX,,29558.14282
Cardiac valve procedures w AMI or complex PDX,,38034.01132
Cardiac valve procedures w AMI or complex PDX,,48459.32957
Cardiac valve procedures w AMI or complex PDX,,78773.02397
Cardiac valve procedures w/o AMI or complex PDX,,25923.49097
Cardiac valve procedures w/o AMI or complex PDX,,31535.84547
Cardiac valve procedures w/o AMI or complex PDX,,38561.67568
Cardiac valve procedures w/o AMI or complex PDX,,59347.49673
Coronary bypass w AMI or complex PDX,,33475.32361
Coronary bypass w AMI or complex PDX,,33587.50423
Coronary bypass w AMI or complex PDX,,41185.87105
Coronary bypass w AMI or complex PDX,,59593.46311
Coronary bypass w/o AMI or complex PDX,,25748.9878
Coronary bypass w/o AMI or complex PDX,,27892.05298
Coronary bypass w/o AMI or complex PDX,,34159.20987
Coronary bypass w/o AMI or complex PDX,,52568.46386
Other cardiothoracic & thoracic vascular procedures,,20945.99565
Other cardiothoracic & thoracic vascular procedures,,24386.2011
Other cardiothoracic & thoracic vascular procedures,,31378.79261
Other cardiothoracic & thoracic vascular procedures,,55892.33386
Major abdominal vascular procedures,,15607.86043
Major abdominal vascular procedures,,19805.07727
Major abdominal vascular procedures,,31662.9835
Major abdominal vascular procedures,,60476.78156
"Permanent cardiac pacemaker implant w AMI, heart failure or shock",,23271.87368
"Permanent cardiac pacemaker implant w AMI, heart failure or shock",,23519.502
"Permanent cardiac pacemaker implant w AMI, heart failure or shock",,30728.97603
"Permanent cardiac pacemaker implant w AMI, heart failure or shock",,40779.52794
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",,15246.38957
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",,18605.1602
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",,25617.69493
"Perm cardiac pacemaker implant w/o AMI, heart failure or shock",,50346.45677
Percutaneous coronary intervention w AMI,,15455.79338
Percutaneous coronary intervention w AMI,,16929.09875
Percutaneous coronary intervention w AMI,,21616.58642
Percutaneous coronary intervention w AMI,,32605.30064
Percutaneous coronary intervention w/o AMI,,13049.3115
Percutaneous coronary intervention w/o AMI,,14700.44392
Percutaneous coronary intervention w/o AMI,,20885.33502
Percutaneous coronary intervention w/o AMI,,41595.53802
Cardiac pacemaker & defibrillator device replacement,,12696.15031
Cardiac pacemaker & defibrillator device replacement,,22730.08287
Cardiac pacemaker & defibrillator device replacement,,28747.94951
Cardiac pacemaker & defibrillator device replacement,,30297.70389
Cardiac pacemaker & defibrillator revision except device replacement,,12374.56589
Cardiac pacemaker & defibrillator revision except device replacement,,15307.88116
Cardiac pacemaker & defibrillator revision except device replacement,,23064.13181
Cardiac pacemaker & defibrillator revision except device replacement,,53427.68426
Other circulatory system procedures,,10253.93683
Other circulatory system procedures,,14468.60399
Other circulatory system procedures,,20894.47566
Other circulatory system procedures,,40834.37179
Lower extremity arterial procedures #,,12713.60063
Lower extremity arterial procedures #,,19716.16375
Lower extremity arterial procedures #,,34778.28065
Lower extremity arterial procedures #,,55770.18164
Other peripheral vascular procedures #,,13257.05337
Other peripheral vascular procedures #,,18389.10865
Other peripheral vascular procedures #,,27579.6092
Other peripheral vascular procedures #,,52907.4986
Acute myocardial infarction,,6902.644898
Acute myocardial infarction,,8752.378553
Acute myocardial infarction,,12844.89349
Acute myocardial infarction,,24165.99471
Cardiac catheterization for coronary artery disease,,6747.253975
Cardiac catheterization for coronary artery disease,,8070.154235
Cardiac catheterization for coronary artery disease,,12644.63032
Cardiac catheterization for coronary artery disease,,22789.08156
Cardiac catheterization for other non-coronary conditions,,6756.394618
Cardiac catheterization for other non-coronary conditions,,9260.099695
Cardiac catheterization for other non-coronary conditions,,15911.99453
Cardiac catheterization for other non-coronary conditions,,35002.64188
Acute & subacute endocarditis,,9363.139665
Acute & subacute endocarditis,,12240.78012
Acute & subacute endocarditis,,18681.60921
Acute & subacute endocarditis,,37885.26814
Heart failure,,5524.069815
Heart failure,,7363.83186
Heart failure,,11539.44355
Heart failure,,24790.88227
Cardiac arrest and shock,,5656.193648
Cardiac arrest and shock,,6040.9316
Cardiac arrest and shock,,6618.454013
Cardiac arrest and shock,,18163.08549
Peripheral & other vascular disorders,,5658.68655
Peripheral & other vascular disorders,,7372.972503
Peripheral & other vascular disorders,,10602.11221
Peripheral & other vascular disorders,,24587.29523
Angina pectoris & coronary atherosclerosis,,4182.057303
Angina pectoris & coronary atherosclerosis,,5229.076353
Angina pectoris & coronary atherosclerosis,,7584.038248
Angina pectoris & coronary atherosclerosis,,20904.44727
Hypertension,,4549.344938
Hypertension,,5711.86847
Hypertension,,8533.003133
Hypertension,,21200.2717
Cardiac structural & valvular disorders,,5004.715128
Cardiac structural & valvular disorders,,6572.7508
Cardiac structural & valvular disorders,,11189.60623
Cardiac structural & valvular disorders,,33525.18166
Cardiac arrhythmia & conduction disorders,,4383.151438
Cardiac arrhythmia & conduction disorders,,5980.270973
Cardiac arrhythmia & conduction disorders,,9804.383408
Cardiac arrhythmia & conduction disorders,,21895.7915
Chest pain,,4061.567015
Chest pain,,4871.760328
Chest pain,,6655.016583
Chest pain,,20360.16356
Syncope & collapse,,4614.160403
Syncope & collapse,,5567.280125
Syncope & collapse,,7930.551695
Syncope & collapse,,18411.54477
Cardiomyopathy,,5671.98203
Cardiomyopathy,,6990.727453
Cardiomyopathy,,12866.49865
Cardiomyopathy,,15514.79207
"Malfunction,reaction,complication of cardiac/vasc device or procedure",,5357.876315
"Malfunction,reaction,complication of cardiac/vasc device or procedure",,6836.167498
"Malfunction,reaction,complication of cardiac/vasc device or procedure",,11128.11464
"Malfunction,reaction,complication of cardiac/vasc device or procedure",,29079.50554
Other circulatory system diagnoses,,4851.817108
Other circulatory system diagnoses,,6748.084943
Other circulatory system diagnoses,,10784.92506
Other circulatory system diagnoses,,21787.76573
"Major stomach, esophageal & duodenal procedures",,10416.80646
"Major stomach, esophageal & duodenal procedures",,16122.22931
"Major stomach, esophageal & duodenal procedures",,29065.37909
"Major stomach, esophageal & duodenal procedures",,59685.7005
Major small & large bowel procedures,,13142.37986
Major small & large bowel procedures,,16433.84212
Major small & large bowel procedures,,26560.84305
Major small & large bowel procedures,,55702.0423
"Other stomach, esophageal & duodenal procedures",,7627.248558
"Other stomach, esophageal & duodenal procedures",,10211.55748
"Other stomach, esophageal & duodenal procedures",,17804.9385
"Other stomach, esophageal & duodenal procedures",,46774.95845
Other small & large bowel procedures,,10568.87351
Other small & large bowel procedures,,13873.63126
Other small & large bowel procedures,,22895.4454
Other small & large bowel procedures,,47144.73899
Peritoneal adhesiolysis,,10775.78442
Peritoneal adhesiolysis,,14095.49958
Peritoneal adhesiolysis,,22841.43252
Peritoneal adhesiolysis,,47062.47321
Appendectomy,,6772.183
Appendectomy,,9966.42207
Appendectomy,,17647.88564
Appendectomy,,34544.77879
Anal procedures,,5932.074858
Anal procedures,,8126.660025
Anal procedures,,13240.43402
Anal procedures,,30944.19661
"Hernia procedures except inguinal, femoral & umbilical",,9426.293195
"Hernia procedures except inguinal, femoral & umbilical",,12010.60212
"Hernia procedures except inguinal, femoral & umbilical",,20054.36752
"Hernia procedures except inguinal, femoral & umbilical",,44611.95005
"Inguinal, femoral & umbilical hernia procedures",,6582.72241
"Inguinal, femoral & umbilical hernia procedures",,8710.830178
"Inguinal, femoral & umbilical hernia procedures",,14197.70858
"Inguinal, femoral & umbilical hernia procedures",,37815.46687
Other digestive system & abdominal procedures,,9275.888078
Other digestive system & abdominal procedures,,13089.19794
Other digestive system & abdominal procedures,,22441.73715
Other digestive system & abdominal procedures,,48875.64429
Digestive malignancy,,6604.327565
Digestive malignancy,,8677.591478
Digestive malignancy,,13946.7564
Digestive malignancy,,25501.35948
Peptic ulcer & gastritis,,5280.596338
Peptic ulcer & gastritis,,7235.031898
Peptic ulcer & gastritis,,11115.65012
Peptic ulcer & gastritis,,26796.00685
Major esophageal disorders,,5380.312438
Major esophageal disorders,,7390.42282
Major esophageal disorders,,11162.1843
Major esophageal disorders,,27007.90356
Other esophageal disorders,,4400.601755
Other esophageal disorders,,6016.002575
Other esophageal disorders,,9556.755093
Other esophageal disorders,,19890.66692
Diverticulitis & diverticulosis,,5111.909935
Diverticulitis & diverticulosis,,6551.976613
Diverticulitis & diverticulosis,,10442.56645
Diverticulitis & diverticulosis,,26324.01731
Inflammatory bowel disease,,5980.270973
Inflammatory bowel disease,,7233.369963
Inflammatory bowel disease,,10911.23212
Inflammatory bowel disease,,18699.8905
Gastrointestinal vascular insufficiency,,5966.975493
Gastrointestinal vascular insufficiency,,7308.988005
Gastrointestinal vascular insufficiency,,11531.13387
Gastrointestinal vascular insufficiency,,24484.25526
Intestinal obstruction,,4865.112588
Intestinal obstruction,,6381.628275
Intestinal obstruction,,10796.5586
Intestinal obstruction,,22026.2534
Major gastrointestinal & peritoneal infections,,5734.304593
Major gastrointestinal & peritoneal infections,,7822.52592
Major gastrointestinal & peritoneal infections,,11748.84736
Major gastrointestinal & peritoneal infections,,27683.48014
"Other gastroenteritis, nausa & vomiting",,4321.659843
"Other gastroenteritis, nausa & vomiting",,5229.076353
"Other gastroenteritis, nausa & vomiting",,7731.119495
"Other gastroenteritis, nausa & vomiting",,17597.19662
Abdominal pain,,4348.250803
Abdominal pain,,5499.971758
Abdominal pain,,7830.835595
Abdominal pain,,16879.2407
"Malfunction, reaction & complication of GI device or procedure",,5852.301978
"Malfunction, reaction & complication of GI device or procedure",,7277.41124
"Malfunction, reaction & complication of GI device or procedure",,11109.83335
"Malfunction, reaction & complication of GI device or procedure",,24340.49789
Other & unspecified gastrointestinal hemorrhage,,5861.44262
Other & unspecified gastrointestinal hemorrhage,,7564.095028
Other & unspecified gastrointestinal hemorrhage,,11896.75957
Other & unspecified gastrointestinal hemorrhage,,20449.07708
Other digestive system diagnoses,,4939.068695
Other digestive system diagnoses,,6786.309448
Other digestive system diagnoses,,10865.52891
Other digestive system diagnoses,,22461.68037
"Major pancreas, liver & shunt procedures",,12919.68057
"Major pancreas, liver & shunt procedures",,17344.5825
"Major pancreas, liver & shunt procedures",,26924.80681
"Major pancreas, liver & shunt procedures",,62501.01839
Major biliary tract procedures,,12408.63555
Major biliary tract procedures,,17425.18635
Major biliary tract procedures,,26451.9863
Major biliary tract procedures,,51815.60731
Cholecystectomy except laparoscopic,,11705.63705
Cholecystectomy except laparoscopic,,14130.40021
Cholecystectomy except laparoscopic,,23532.79748
Cholecystectomy except laparoscopic,,51092.66558
Laparoscopic cholecystectomy,,8139.955505
Laparoscopic cholecystectomy,,10525.6632
Laparoscopic cholecystectomy,,14212.666
Laparoscopic cholecystectomy,,31283.23135
"Other hepatobiliary, pancreas & abdominal procedures",,11873.49248
"Other hepatobiliary, pancreas & abdominal procedures",,13354.27657
"Other hepatobiliary, pancreas & abdominal procedures",,24525.80364
"Other hepatobiliary, pancreas & abdominal procedures",,51931.94276
Hepatic coma & other major acute liver disorders,,5356.21438
Hepatic coma & other major acute liver disorders,,7289.875753
Hepatic coma & other major acute liver disorders,,12071.26275
Hepatic coma & other major acute liver disorders,,31576.56288
Alcoholic liver disease,,5242.371833
Alcoholic liver disease,,7046.402275
Alcoholic liver disease,,11319.23716
Alcoholic liver disease,,29144.321
Malignancy of hepatobiliary system & pancreas,,6332.601193
Malignancy of hepatobiliary system & pancreas,,8601.973435
Malignancy of hepatobiliary system & pancreas,,12240.78012
Malignancy of hepatobiliary system & pancreas,,20886.16599
Disorders of pancreas except malignancy,,5376.1576
Disorders of pancreas except malignancy,,6995.713258
Disorders of pancreas except malignancy,,12106.16338
Disorders of pancreas except malignancy,,29514.10154
Other disorders of the liver,,5472.54983
Other disorders of the liver,,6999.037128
Other disorders of the liver,,10798.22054
Other disorders of the liver,,22308.78235
Disorders of gallbladder & biliary tract,,5588.88528
Disorders of gallbladder & biliary tract,,7666.30403
Disorders of gallbladder & biliary tract,,11740.53768
Disorders of gallbladder & biliary tract,,25420.75564
Hip joint replacement,,16123.89125
Hip joint replacement,,16726.34268
Hip joint replacement,,21868.36957
Hip joint replacement,,51093.49655
Knee joint replacement,,15523.10174
Knee joint replacement,,17413.55281
Knee joint replacement,,23172.15758
Knee joint replacement,,46017.11609
Dorsal & lumbar fusion proc for curvature of back,,37516.31857
Dorsal & lumbar fusion proc for curvature of back,,44734.10227
Dorsal & lumbar fusion proc for curvature of back,,58857.2259
Dorsal & lumbar fusion proc for curvature of back,,91318.97129
Dorsal & lumbar fusion proc except for curvature of back,,26267.51152
Dorsal & lumbar fusion proc except for curvature of back,,31824.19119
Dorsal & lumbar fusion proc except for curvature of back,,45059.84153
Dorsal & lumbar fusion proc except for curvature of back,,77090.31479
Amputation of lower limb except toes,,12100.34661
Amputation of lower limb except toes,,16719.69494
Amputation of lower limb except toes,,28891.70688
Amputation of lower limb except toes,,53155.12692
Hip and femur fracture repair,,11887.61893
Hip and femur fracture repair,,16069.04739
Hip and femur fracture repair,,23605.09165
Hip and femur fracture repair,,48726.07014
Other significant hip and femur surgery,,11138.08625
Other significant hip and femur surgery,,16368.19569
Other significant hip and femur surgery,,25900.22388
Other significant hip and femur surgery,,48529.13084
Intervertebral disc excision & decompression,,7951.325883
Intervertebral disc excision & decompression,,10943.63985
Intervertebral disc excision & decompression,,21937.33988
Intervertebral disc excision & decompression,,57645.67529
"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses",,10917.87986
"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses",,19513.40768
"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses",,38412.9325
"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses",,75595.40425
Knee & lower leg procedures except foot,,10730.0812
Knee & lower leg procedures except foot,,15377.68243
Knee & lower leg procedures except foot,,24679.53263
Knee & lower leg procedures except foot,,54563.61683
Foot & toe procedures,,9584.17702
Foot & toe procedures,,12043.00985
Foot & toe procedures,,17679.46241
Foot & toe procedures,,32739.91738
"Shoulder, upper arm & forearm procedures except joint replacement",,7509.251173
"Shoulder, upper arm & forearm procedures except joint replacement",,12281.49753
"Shoulder, upper arm & forearm procedures except joint replacement",,22961.09184
"Shoulder, upper arm & forearm procedures except joint replacement",,43446.10265
Hand & wrist procedures,,6743.099138
Hand & wrist procedures,,10599.61931
Hand & wrist procedures,,18514.58474
Hand & wrist procedures,,20627.7351
"Tendon, muscle & other soft tissue procedures",,8266.262565
"Tendon, muscle & other soft tissue procedures",,12712.76966
"Tendon, muscle & other soft tissue procedures",,22459.18747
"Tendon, muscle & other soft tissue procedures",,53289.74365
Other musculoskeletal system & connective tissue procedures,,9309.957745
Other musculoskeletal system & connective tissue procedures,,14315.70597
Other musculoskeletal system & connective tissue procedures,,21687.21866
Other musculoskeletal system & connective tissue procedures,,42367.50683
Cervical spinal fusion & other back/neck proc exc disc excis/decomp,,14348.1137
Cervical spinal fusion & other back/neck proc exc disc excis/decomp,,18630.92019
Cervical spinal fusion & other back/neck proc exc disc excis/decomp,,31556.61966
