DRG Description	 IP CHARGE 	 UNITEDHEALTHCARE ESSENTIAL PLANS 1 - 4 
Acute & subacute endocarditis		9363.14
Acute & subacute endocarditis		12240.78
Acute & subacute endocarditis		18681.61
Acute & subacute endocarditis		37885.27
Heart failure		5524.07
Heart failure		7363.83
Heart failure		11539.44
Heart failure		24790.88
Cardiac arrest and shock		5656.19
Cardiac arrest and shock		6040.93
Cardiac arrest and shock		6618.45
Cardiac arrest and shock		18163.09
Peripheral & other vascular disorders		5658.69
Peripheral & other vascular disorders		7372.97
Peripheral & other vascular disorders		10602.11
Peripheral & other vascular disorders		24587.3
Angina pectoris & coronary atherosclerosis		4182.06
Angina pectoris & coronary atherosclerosis		5229.08
Angina pectoris & coronary atherosclerosis		7584.04
Angina pectoris & coronary atherosclerosis		20904.45
Hypertension		4549.34
Hypertension		5711.87
Hypertension		8533
Hypertension		21200.27
Cardiac structural & valvular disorders		5004.72
Cardiac structural & valvular disorders		6572.75
Cardiac structural & valvular disorders		11189.61
Cardiac structural & valvular disorders		33525.18
Cardiac arrhythmia & conduction disorders		4383.15
Cardiac arrhythmia & conduction disorders		5980.27
Cardiac arrhythmia & conduction disorders		9804.38
Cardiac arrhythmia & conduction disorders		21895.79
Chest pain		4061.57
Chest pain		4871.76
Chest pain		6655.02
Chest pain		20360.16
Syncope & collapse		4614.16
Syncope & collapse		5567.28
Syncope & collapse		7930.55
Syncope & collapse		18411.54
Cardiomyopathy		5671.98
Cardiomyopathy		6990.73
Cardiomyopathy		12866.5
Cardiomyopathy		15514.79
"Malfunction,reaction,complication of cardiac/vasc device or procedure"		5357.88
"Malfunction,reaction,complication of cardiac/vasc device or procedure"		6836.17
"Malfunction,reaction,complication of cardiac/vasc device or procedure"		11128.11
"Malfunction,reaction,complication of cardiac/vasc device or procedure"		29079.51
Other circulatory system diagnoses		4851.82
Other circulatory system diagnoses		6748.08
Other circulatory system diagnoses		10784.93
Other circulatory system diagnoses		21787.77
"Major stomach, esophageal & duodenal procedures"		10416.81
"Major stomach, esophageal & duodenal procedures"		16122.23
"Major stomach, esophageal & duodenal procedures"		29065.38
"Major stomach, esophageal & duodenal procedures"		59685.7
Major small & large bowel procedures		13142.38
Major small & large bowel procedures		16433.84
Major small & large bowel procedures		26560.84
Major small & large bowel procedures		55702.04
"Other stomach, esophageal & duodenal procedures"		7627.25
"Other stomach, esophageal & duodenal procedures"		10211.56
"Other stomach, esophageal & duodenal procedures"		17804.94
"Other stomach, esophageal & duodenal procedures"		46774.96
Other small & large bowel procedures		10568.87
Other small & large bowel procedures		13873.63
Other small & large bowel procedures		22895.45
Other small & large bowel procedures		47144.74
Peritoneal adhesiolysis		10775.78
Peritoneal adhesiolysis		14095.5
Peritoneal adhesiolysis		22841.43
Peritoneal adhesiolysis		47062.47
Appendectomy		6772.18
Appendectomy		9966.42
Appendectomy		17647.89
Appendectomy		34544.78
Anal procedures		5932.07
Anal procedures		8126.66
Anal procedures		13240.43
Anal procedures		30944.2
"Hernia procedures except inguinal, femoral & umbilical"		9426.29
"Hernia procedures except inguinal, femoral & umbilical"		12010.6
"Hernia procedures except inguinal, femoral & umbilical"		20054.37
"Hernia procedures except inguinal, femoral & umbilical"		44611.95
"Inguinal, femoral & umbilical hernia procedures"		6582.72
"Inguinal, femoral & umbilical hernia procedures"		8710.83
"Inguinal, femoral & umbilical hernia procedures"		14197.71
"Inguinal, femoral & umbilical hernia procedures"		37815.47
Other digestive system & abdominal procedures		9275.89
Other digestive system & abdominal procedures		13089.2
Other digestive system & abdominal procedures		22441.74
Other digestive system & abdominal procedures		48875.64
Digestive malignancy		6604.33
Digestive malignancy		8677.59
Digestive malignancy		13946.76
Digestive malignancy		25501.36
Peptic ulcer & gastritis		5280.6
Peptic ulcer & gastritis		7235.03
Peptic ulcer & gastritis		11115.65
Peptic ulcer & gastritis		26796.01
Major esophageal disorders		5380.31
Major esophageal disorders		7390.42
Major esophageal disorders		11162.18
Major esophageal disorders		27007.9
Other esophageal disorders		4400.6
Other esophageal disorders		6016
Other esophageal disorders		9556.76
Other esophageal disorders		19890.67
Diverticulitis & diverticulosis		5111.91
Diverticulitis & diverticulosis		6551.98
Diverticulitis & diverticulosis		10442.57
Diverticulitis & diverticulosis		26324.02
Inflammatory bowel disease		5980.27
Inflammatory bowel disease		7233.37
Inflammatory bowel disease		10911.23
Inflammatory bowel disease		18699.89
Gastrointestinal vascular insufficiency		5966.98
Gastrointestinal vascular insufficiency		7308.99
Gastrointestinal vascular insufficiency		11531.13
Gastrointestinal vascular insufficiency		24484.26
Intestinal obstruction		4865.11
Intestinal obstruction		6381.63
Intestinal obstruction		10796.56
Intestinal obstruction		22026.25
Major gastrointestinal & peritoneal infections		5734.3
Major gastrointestinal & peritoneal infections		7822.53
Major gastrointestinal & peritoneal infections		11748.85
Major gastrointestinal & peritoneal infections		27683.48
"Other gastroenteritis, nausa & vomiting"		4321.66
"Other gastroenteritis, nausa & vomiting"		5229.08
"Other gastroenteritis, nausa & vomiting"		7731.12
"Other gastroenteritis, nausa & vomiting"		17597.2
Abdominal pain		4348.25
Abdominal pain		5499.97
Abdominal pain		7830.84
Abdominal pain		16879.24
"Malfunction, reaction & complication of GI device or procedure"		5852.3
"Malfunction, reaction & complication of GI device or procedure"		7277.41
"Malfunction, reaction & complication of GI device or procedure"		11109.83
"Malfunction, reaction & complication of GI device or procedure"		24340.5
Other & unspecified gastrointestinal hemorrhage		5861.44
Other & unspecified gastrointestinal hemorrhage		7564.1
Other & unspecified gastrointestinal hemorrhage		11896.76
Other & unspecified gastrointestinal hemorrhage		20449.08
Other digestive system diagnoses		4939.07
Other digestive system diagnoses		6786.31
Other digestive system diagnoses		10865.53
Other digestive system diagnoses		22461.68
"Major pancreas, liver & shunt procedures"		12919.68
"Major pancreas, liver & shunt procedures"		17344.58
"Major pancreas, liver & shunt procedures"		26924.81
"Major pancreas, liver & shunt procedures"		62501.02
Major biliary tract procedures		12408.64
Major biliary tract procedures		17425.19
Major biliary tract procedures		26451.99
Major biliary tract procedures		51815.61
Cholecystectomy except laparoscopic		11705.64
Cholecystectomy except laparoscopic		14130.4
Cholecystectomy except laparoscopic		23532.8
Cholecystectomy except laparoscopic		51092.67
Laparoscopic cholecystectomy		8139.96
Laparoscopic cholecystectomy		10525.66
Laparoscopic cholecystectomy		14212.67
Laparoscopic cholecystectomy		31283.23
"Other hepatobiliary, pancreas & abdominal procedures"		11873.49
"Other hepatobiliary, pancreas & abdominal procedures"		13354.28
"Other hepatobiliary, pancreas & abdominal procedures"		24525.8
"Other hepatobiliary, pancreas & abdominal procedures"		51931.94
Hepatic coma & other major acute liver disorders		5356.21
Hepatic coma & other major acute liver disorders		7289.88
Hepatic coma & other major acute liver disorders		12071.26
Hepatic coma & other major acute liver disorders		31576.56
Alcoholic liver disease		5242.37
Alcoholic liver disease		7046.4
Alcoholic liver disease		11319.24
Alcoholic liver disease		29144.32
Malignancy of hepatobiliary system & pancreas		6332.6
Malignancy of hepatobiliary system & pancreas		8601.97
Malignancy of hepatobiliary system & pancreas		12240.78
Malignancy of hepatobiliary system & pancreas		20886.17
Disorders of pancreas except malignancy		5376.16
Disorders of pancreas except malignancy		6995.71
Disorders of pancreas except malignancy		12106.16
Disorders of pancreas except malignancy		29514.1
Other disorders of the liver		5472.55
Other disorders of the liver		6999.04
Other disorders of the liver		10798.22
Other disorders of the liver		22308.78
Disorders of gallbladder & biliary tract		5588.89
Disorders of gallbladder & biliary tract		7666.3
Disorders of gallbladder & biliary tract		11740.54
Disorders of gallbladder & biliary tract		25420.76
Hip joint replacement		16123.89
Hip joint replacement		16726.34
Hip joint replacement		21868.37
Hip joint replacement		51093.5
Knee joint replacement		15523.1
Knee joint replacement		17413.55
Knee joint replacement		23172.16
Knee joint replacement		46017.12
Dorsal & lumbar fusion proc for curvature of back		37516.32
Dorsal & lumbar fusion proc for curvature of back		44734.1
Dorsal & lumbar fusion proc for curvature of back		58857.23
Dorsal & lumbar fusion proc for curvature of back		91318.97
Dorsal & lumbar fusion proc except for curvature of back		26267.51
Dorsal & lumbar fusion proc except for curvature of back		31824.19
Dorsal & lumbar fusion proc except for curvature of back		45059.84
Dorsal & lumbar fusion proc except for curvature of back		77090.31
Amputation of lower limb except toes		12100.35
Amputation of lower limb except toes		16719.69
Amputation of lower limb except toes		28891.71
Amputation of lower limb except toes		53155.13
Hip and femur fracture repair		11887.62
Hip and femur fracture repair		16069.05
Hip and femur fracture repair		23605.09
Hip and femur fracture repair		48726.07
Other significant hip and femur surgery		11138.09
Other significant hip and femur surgery		16368.2
Other significant hip and femur surgery		25900.22
Other significant hip and femur surgery		48529.13
Intervertebral disc excision & decompression		7951.33
Intervertebral disc excision & decompression		10943.64
Intervertebral disc excision & decompression		21937.34
Intervertebral disc excision & decompression		57645.68
"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses"		10917.88
"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses"		19513.41
"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses"		38412.93
"Skin graft, except hand, for musculoskeletal & connective tissue diagnoses"		75595.4
Knee & lower leg procedures except foot		10730.08
Knee & lower leg procedures except foot		15377.68
Knee & lower leg procedures except foot		24679.53
Knee & lower leg procedures except foot		54563.62
Foot & toe procedures		9584.18
Foot & toe procedures		12043.01
Foot & toe procedures		17679.46
Foot & toe procedures		32739.92
"Shoulder, upper arm & forearm procedures except joint replacement"		7509.25
"Shoulder, upper arm & forearm procedures except joint replacement"		12281.5
"Shoulder, upper arm & forearm procedures except joint replacement"		22961.09
"Shoulder, upper arm & forearm procedures except joint replacement"		43446.1
Hand & wrist procedures		6743.1
Hand & wrist procedures		10599.62
Hand & wrist procedures		18514.58
Hand & wrist procedures		20627.74
"Tendon, muscle & other soft tissue procedures"		8266.26
"Tendon, muscle & other soft tissue procedures"		12712.77
"Tendon, muscle & other soft tissue procedures"		22459.19
"Tendon, muscle & other soft tissue procedures"		53289.74
Other musculoskeletal system & connective tissue procedures		9309.96
Other musculoskeletal system & connective tissue procedures		14315.71
Other musculoskeletal system & connective tissue procedures		21687.22
Other musculoskeletal system & connective tissue procedures		42367.51
Cervical spinal fusion & other back/neck proc exc disc excis/decomp		14348.11
Cervical spinal fusion & other back/neck proc exc disc excis/decomp		18630.92
Cervical spinal fusion & other back/neck proc exc disc excis/decomp		31556.62
Cervical spinal fusion & other back/neck proc exc disc excis/decomp		59490.42
Shoulder & elbow joint replacement #		13921
Shoulder & elbow joint replacement #		15294.59
Shoulder & elbow joint replacement #		25083.38
Shoulder & elbow joint replacement #		29195.01
Fracture of femur		5182.54
Fracture of femur		6673.3
Fracture of femur		14944.75
Fracture of femur		20051.87
Fracture of pelvis or dislocation of hip		5546.51
Fracture of pelvis or dislocation of hip		6720.66
Fracture of pelvis or dislocation of hip		8783.96
Fracture of pelvis or dislocation of hip		9296.66
"Fractures & dislocations except femur, pelvis & back"		4483.7
"Fractures & dislocations except femur, pelvis & back"		6267.79
"Fractures & dislocations except femur, pelvis & back"		9791.92
"Fractures & dislocations except femur, pelvis & back"		22781.6
Musculoskeletal malignancy & pathol fracture d/t muscskel malig		7683.75
Musculoskeletal malignancy & pathol fracture d/t muscskel malig		9078.95
Musculoskeletal malignancy & pathol fracture d/t muscskel malig		18626.77
Musculoskeletal malignancy & pathol fracture d/t muscskel malig		32796.42
"Osteomyelitis, septic arthritis & other musculoskeletal infections"		7471.03
"Osteomyelitis, septic arthritis & other musculoskeletal infections"		10343.68
"Osteomyelitis, septic arthritis & other musculoskeletal infections"		15608.69
"Osteomyelitis, septic arthritis & other musculoskeletal infections"		29314.67
Connective tissue disorders		6867.74
Connective tissue disorders		8784.79
Connective tissue disorders		14607.38
Connective tissue disorders		41294.73
"Other back & neck disorders, fractures & injuries"		5352.06
"Other back & neck disorders, fractures & injuries"		6977.43
"Other back & neck disorders, fractures & injuries"		10126.8
"Other back & neck disorders, fractures & injuries"		27008.73
"Malfunction, reaction, complic of orthopedic device or procedure"		5308.85
"Malfunction, reaction, complic of orthopedic device or procedure"		8095.08
"Malfunction, reaction, complic of orthopedic device or procedure"		13735.69
"Malfunction, reaction, complic of orthopedic device or procedure"		30466.39
Other musculoskeletal system & connective tissue diagnoses		4868.44
Other musculoskeletal system & connective tissue diagnoses		6097.44
Other musculoskeletal system & connective tissue diagnoses		10384.4
