IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT
2025673,HC FQHC PSYTX PT 60 MINUTES - SED,Behavioral Health Treatment/Services - Individual Therapy,"$2,051.75 "
2025678,HC FQHC PSYCH DIAGNOSTIC EVALUATION - SMI,Behavioral Health Treatment/Services - Individual Therapy,$686.05 
2025679,HC FQHC PSYCH DIAGNOSTIC EVALUATION - SED,Behavioral Health Treatment/Services - Individual Therapy,$686.05 
2025680,HC FQHC PSYCH DIAG EVAL W/MED SRVCS - SMI,Behavioral Health Treatment/Services - Individual Therapy,$760.29 
2025681,HC FQHC PSYCH DIAG EVAL W/MED SRVCS - SED,Behavioral Health Treatment/Services - Individual Therapy,$760.29 
2025682,HC FQHC PSYTX PT 30 MINUTES - SMI,Behavioral Health Treatment/Services - Individual Therapy,"$1,047.00 "
2025683,HC FQHC PSYTX PT 30 MINUTES - SED,Behavioral Health Treatment/Services - Individual Therapy,"$1,047.00 "
2025684,HC FQHC PSYTX PT W/E&M 30 MIN - SMI,Behavioral Health Treatment/Services - Individual Therapy,"$1,073.87 "
2025686,HC FQHC PSYTX PT 45 MINUTES - SMI,Behavioral Health Treatment/Services - Individual Therapy,"$1,377.22 "
2025687,HC FQHC PSYTX PT45 MINUTES - SED,Behavioral Health Treatment/Services - Individual Therapy,"$1,377.22 "
2025729,HC FQHC PSYCH THRPY FOR CRISIS 1ST 60 MIN -SED,Behavioral Health Treatment/Services - Individual Therapy,$574.35 
2025730,HC FQHC PSYCH THRPY FOR CRISIS EA ADDL 30 MIN -SED,Behavioral Health Treatment/Services - Individual Therapy,$274.81 
2025736,HC FQHC PSYCH THRPY FOR CRISIS EA ADDL 30 MIN -SMI,Behavioral Health Treatment/Services - Individual Therapy,$274.81 
2025760,HC FQHC PSYCH THRPY FOR CRISIS 1ST 60 MIN,Behavioral Health Treatment/Services - Individual Therapy,$574.35 
2025761,HC FQHC PSYCH THRPY FOR CRISIS EA ADDL 30 MIN,Behavioral Health Treatment/Services - Individual Therapy,$274.81 
2025965,HC TELEHEALTH PSYTX W PT W E/M 30 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$1,073.87 "
2025966,HC TELEHEALTH PSYTX W PT W E/M 45 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$1,349.07 "
2025969,HC TELEHEALTH PSYCH DIAGNOSTIC EVALUATION,Behavioral Health Treatment/Services - Individual Therapy,$686.05 
2025970,HC TELEHEALTH PSYCH DIAG EVAL W/MED SRVCS,Behavioral Health Treatment/Services - Individual Therapy,$760.29 
2026587,HC HLTH BHV ASSMT/REASSESSMENT,Behavioral Health Treatment/Services - Individual Therapy,$242.04 
2026588,HC HLTH BHV IVNTJ INDIV 1ST 30 MIN,Behavioral Health Treatment/Services - Individual Therapy,$302.54 
2026589,HC HLTH BHV IVNTJ INDIV EA ADDL 15 MIN,Behavioral Health Treatment/Services - Individual Therapy,$75.64 
2026889,HC FHC TELE SBH CONSULTATION WITH FAMILY,Behavioral Health Treatment/Services - Individual Therapy,$189.43 
2026892,HC FHC TELE SBH PSYTX W PT 30 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$1,047.00 "
2026893,HC FHC TELE SBH PSYTX W PT 45 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$1,377.22 "
2026894,HC FHC TELE SBH PSYTX W PT 60 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$2,051.75 "
2026895,HC FHC TELE SBH PSYTX W PT W E/M 30 MIN,Behavioral Health Treatment/Services - Individual Therapy,"$1,073.87 "
2026898,HC FHC TELE SBH PSYCH DIAGNOSTIC EVALUATION,Behavioral Health Treatment/Services - Individual Therapy,$685.67 
2026901,HC FHC TELE SBH PSYCH THRPY FOR CRISIS 1ST 60 MIN,Behavioral Health Treatment/Services - Individual Therapy,$574.35 
2026939,HC SBHC/LCM AUDIO ONLY PSYCH DIAGNOSTIC EVALUATION,Behavioral Health Treatment/Services - Individual Therapy,$646.86 
2026940,HC SBHC/LCM AUDIO ONLY PSYTX W PT 30 MINUTES,Behavioral Health Treatment/Services - Individual Therapy,$987.74 
2026941,HC SBHC/LCM AUDIO ONLY PSYTX W PT 45 MINUTES,Behavioral Health Treatment/Services - Individual Therapy,"$1,299.27 "
2026942,HC SBHC/LCM AUDIO ONLY PSYTX W PT 60 MINUTES,Behavioral Health Treatment/Services - Individual Therapy,"$1,935.62 "
2026590,HC PSY THER IVNTJ COG FUNC 1ST 15 MIN,Behavioral Health Treatment/Services - Rehabilitation,$243.19 
2026591,HC PSY THER IVNTJ COG FUNC EA ADDL 15 MIN,Behavioral Health Treatment/Services - Rehabilitation,$60.80 
2022196,HC NUBHVL XM PHYS/QHP 1ST HR,Behavioral Health Treatment/Services - Testing,$747.49 
2026130,HC BRIEF EMOTIONAL/BEHAV ASSMT,Behavioral Health Treatment/Services - Testing,$109.18 
2026353,HC NUBHVL XM PHY/QHP EA ADDL HR,Behavioral Health Treatment/Services - Testing,$498.32 
2026361,HC PSYCL TST EVAL PHYS/QHP 1ST,Behavioral Health Treatment/Services - Testing,$506.31 
2026362,HC PSYCL TST EVAL PHYS/QHP EA,Behavioral Health Treatment/Services - Testing,$337.54 
2026363,HC NRPSYC TST EVAL PHYS/QHP 1ST,Behavioral Health Treatment/Services - Testing,$506.31 
2026364,HC NRPSYC TST EACH 1HR,Behavioral Health Treatment/Services - Testing,$337.54 
2026365,HC PSYCL/NRPSYC TST PHY/QHP 1ST,Behavioral Health Treatment/Services - Testing,$63.94 
2026366,HC PSYCL/NRPSY EACH 30MIN,Behavioral Health Treatment/Services - Testing,$42.63 
2026367,HC PSYCL/NRPSYC TECH 1ST,Behavioral Health Treatment/Services - Testing,$63.94 
2026368,HC PSYCL/NRPSYC TST TECH EA,Behavioral Health Treatment/Services - Testing,$42.63 
2022004,HC HEART/LUNG RESUSCITATION CPR,Cardiology,"$2,211.75 "
2022005,"HC CATH/EP CARDIOVERSION ELECTRIC, EXT",Cardiology,"$7,673.94 "
2022033,"HC CATH/EP PM DEVICE PROGR EVAL, DUAL",Cardiology,$634.34 
2022034,"HC CATH/EP PM DEVICE PROGR EVAL, MULTI",Cardiology,$716.32 
2022035,HC PRGRMG EVAL IMPLANTABLE DFB 1 SNGL,Cardiology,"$1,531.70 "
2022036,HC PRGRMG EVAL IMPLANTABLE DFB 1DUAL,Cardiology,"$1,760.57 "
2022037,HC PRGRMG EVAL IMPLANTABLE DFB MULT,Cardiology,"$1,989.45 "
2022038,HC PRGRMG DEV EVAL SCRMS IP,Cardiology,"$2,143.59 "
2022039,HC PERI-PX EVAL PM/LDLS PM IP,Cardiology,"$2,143.59 "
2022040,HC PERI-PX DEVICE EVAL & PRGR,Cardiology,"$2,143.59 "
2022041,HC INTERROG EVL PM/LDLS PM IP,Cardiology,"$2,143.59 "
2022042,HC INTERROG DEVICE EVAL HEART,Cardiology,"$2,143.59 "
2022044,HC INTERROG DEV EVAL SCRMS IP,Cardiology,"$2,143.59 "
2022051,"HC DOPPLER ECHO EXAM, HEART",Cardiology,"$1,694.71 "
2022080,HC CATH/EP HEART FLOW RESERVE MEASURE,Cardiology,"$6,674.93 "
2022083,HC CATH/EP BUNDLE OF HIS RECORDING,Cardiology,"$17,269.30 "
2022084,HC CATH/EP INTRA-ATRIAL RECORDING,Cardiology,"$17,269.30 "
2022085,HC CATH/EP RIGHT VENTRICULAR RECORDING,Cardiology,"$7,395.88 "
2022086,"HC CATH/EP MAP TACHYCARDIA, ADD-ON",Cardiology,"$11,940.26 "
2022087,HC CATH/EP INTRA-ATRIAL PACING,Cardiology,"$17,269.30 "
2022088,HC CATH/EP INTRAVENTRICULAR PACING,Cardiology,"$17,269.30 "
2022089,"HC CATH/EP ELECTROPHYS MAP 3D, ADD-ON",Cardiology,"$34,965.48 "
2022090,HC CATH/EP ESOPHGL REC ATR EGRM +-VENTR EGRM,Cardiology,"$1,205.71 "
2022092,HC CATH/EP HEART RHYTHM PACING,Cardiology,"$8,786.02 "
2022093,HC CATH/EP COMPRE ELECTROPHYSIOLOGIC W/ ARRHYT HMIA INDUCT,Cardiology,"$53,928.58 "
2022094,HC CATH/EP COMPRE ELECTROPHYSIOLOGIC W/L ATR PAC/REC,Cardiology,"$23,072.49 "
2022095,HC CATH/EP COMPRE ELECTROPHYSIOLOGIC W/L VENTR PAC/REC,Cardiology,"$21,306.15 "
2022096,"HC CATH/EP STIMULATION, PACING HEART",Cardiology,"$18,492.49 "
2022100,HC CATH/EP EPHYS EVAL PACG CVDFB LDS W/TSTG OF PULSE GEN,Cardiology,"$11,165.52 "
2022101,HC ELECTROPHYSIOLOGY EVALUATION,Cardiology,"$15,183.92 "
2022102,HC CATH/EP ICAR CATHETER ABLATION ATRIOVENTR NODE FUNCTION,Cardiology,"$71,485.76 "
2022105,HC CATH/EP TILT TABLE EVALUATION,Cardiology,"$9,507.24 "
2022106,HC CATH/EP INTRACARDIAC ECG (ICE),Cardiology,"$8,104.00 "
2022107,HC CATH/EP ANALYZE PACEMAKER SYSTEM,Cardiology,"$1,819.75 "
2022770,HC PRGRMG DEV EVAL PM/LDLS PM,Cardiology,$552.35 
2022771,HC PPM PROGRAM EVAL DUAL,Cardiology,$604.13 
2022772,HC PPM PROGRAM EVAL MULTI,Cardiology,$682.21 
2022861,HC CATH/EP EXER W/HEMODYNMIC MEAS,Cardiology,"$1,727.93 "
2023066,HC CATH/EP INTERROGATION VAD IN PERSON,Cardiology,$401.90 
2024336,HC EP & ABLATE SUPRAVENT ARRHYT,Cardiology,"$59,446.44 "
2024337,HC EP & ABLATE VENTRIC TACHY,Cardiology,"$64,888.48 "
2024338,HC ABLATE ARRHYTHMIA ADD ON,Cardiology,"$24,399.36 "
2024339,HC TX ATRIAL FIB PULM VEIN ISOL,Cardiology,"$65,944.81 "
2024340,HC TX L/R ATRIAL FIB ADDL,Cardiology,"$25,059.24 "
2024811,HC VASCULAR EMBOLIZATION OR OCCLUSION VENOUS RS&I,Cardiology,"$33,327.21 "
2024812,HC VASCULAR EMBOLIZATION OR OCCLUSION ARTERIAL RS&I,Cardiology,"$33,327.21 "
2024844,HC INTERROGATE SUBQ DEFIB,Cardiology,$191.43 
2024982,HC PERQ TRANSCATH CLOSURE PDA,Cardiology,"$20,412.64 "
2025051,HC AMBL BP MNTR W/SW REC ONLY,Cardiology,$320.05 
2025986,HC PAD REHAB PER SESSION,Cardiology,$204.02 
2026133,HC ELECTROPHYS EVAL COMP,Cardiology,"$17,269.30 "
2020401,HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD ATR,Cardiology - Cardiac Cath Lab,"$15,130.29 "
2020402,HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD VENTR,Cardiology - Cardiac Cath Lab,"$15,999.37 "
2020403,HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD ATR&VENTR,Cardiology - Cardiac Cath Lab,"$17,390.67 "
2020404,HC CATH/EP INSJ/RPLCMT TEMP TRANSVNS 1CHMBR ELTRD/PM CATH,Cardiology - Cardiac Cath Lab,"$7,347.35 "
2020408,HC CATH/EP UPGRADE OF PACEMAKER SYSTEM,Cardiology - Cardiac Cath Lab,"$16,902.83 "
2020409,HC CATH/EP REPOSITION PACING-DEFIB LEAD,Cardiology - Cardiac Cath Lab,"$3,407.91 "
2020410,HC CATH/EP INSJ ELTRD 1CHMBR 1 ELTRD PRM PM/1CHMBR CVDFB,Cardiology - Cardiac Cath Lab,"$7,347.35 "
2020411,HC CATH/EP INSJ ELTRD 2CHMBR 2 ELTRDS PRM PM/2CHMBR CVDFB,Cardiology - Cardiac Cath Lab,"$7,347.35 "
2020412,"HC CATH/EP REPAIR LEAD PACE-DEFIB, ONE",Cardiology - Cardiac Cath Lab,"$3,761.00 "
2020413,"HC CATH/EP REVISE POCKET, PACEMAKER",Cardiology - Cardiac Cath Lab,"$3,428.98 "
2020414,"HC CATH/EP REVISE POCKET, PACING-DEFIB",Cardiology - Cardiac Cath Lab,"$4,114.78 "
2020415,HC CATH/EP INSERT PACING LEAD & CONNECT,Cardiology - Cardiac Cath Lab,"$16,902.83 "
2020416,HC CATH/EP L VENTRIC PACING LEAD ADD-ON,Cardiology - Cardiac Cath Lab,"$16,097.93 "
2020417,HC CATH/EP REPOSITION L VENTRIC LEAD,Cardiology - Cardiac Cath Lab,"$4,136.79 "
2020418,HC CATH/EP REMOVAL PERMANENT PACEMAKER PULSE GENERATOR,Cardiology - Cardiac Cath Lab,"$10,114.17 "
2020419,HC CATH/EP RMVL TRANSVNS PM ELTRD 1 LEAD SYS ATR/VENTR,Cardiology - Cardiac Cath Lab,"$12,136.49 "
2020420,HC CATH/EP REMOVAL PACEMAKER ELECTRODE,Cardiology - Cardiac Cath Lab,"$15,171.25 "
2020422,HC CATH/EP REMOVE PULSE GENERATOR,Cardiology - Cardiac Cath Lab,"$5,720.09 "
2020423,"HC CATH/EP REMOVE ELTRD, TRANSVEN",Cardiology - Cardiac Cath Lab,"$10,048.88 "
2020424,HC CATH/EP ELTRD/INSERT PACE-DEFIB,Cardiology - Cardiac Cath Lab,"$51,311.91 "
2020427,HC CATH/EP INSERT IA PERCUT DEVICE,Cardiology - Cardiac Cath Lab,"$2,454.94 "
2020441,HC CATH/EP INJECTION EXT VENOGRAPHY,Cardiology - Cardiac Cath Lab,"$13,017.09 "
2020445,HC CATH/EP PLACE CATHETER IN VEIN,Cardiology - Cardiac Cath Lab,"$1,679.29 "
2020450,HC CATH/EP ESTABLISH ACCESS TO ARTERY,Cardiology - Cardiac Cath Lab,"$1,442.50 "
2020452,HC CATH/EP PLACE CATHETER IN AORTA,Cardiology - Cardiac Cath Lab,"$2,154.15 "
2020456,HC CATH/EP SLCTV CATHJ 1ST 2ND ORD THRC/BRCH/CPHLC BRNCH,Cardiology - Cardiac Cath Lab,"$2,882.44 "
2020457,HC CATH/EP SLCTV CATHJ 3RD+ ORD SLCTV THRC/BRCH/CPHLC BRNCH,Cardiology - Cardiac Cath Lab,"$3,458.93 "
2020462,HC CATH/EP SLCTV CATHJ EA 1ST ORD ABDL PEL/LXTR ART BRNCH,Cardiology - Cardiac Cath Lab,"$5,618.98 "
2020464,HC CATH/EP SLCTV CATHJ 2ND ORDER ABDL PEL/LXTR ART BRNCH,Cardiology - Cardiac Cath Lab,"$9,414.02 "
2020466,HC CATH/EP SLCTV CATHJ 3RD+ ORD SLCTV ABDL PEL/LXTR BRNCH,Cardiology - Cardiac Cath Lab,"$11,202.12 "
2020482,HC CATH/EP INSJ NON-TUN CTR CVC UNDER 5 YR,Cardiology - Cardiac Cath Lab,"$3,875.68 "
2020497,"HC CATH/EP INSERTION CATHETER, ARTERY",Cardiology - Cardiac Cath Lab,$575.98 
2020508,"HC CATH/EP TRANSCATH STENT, CCA W/EPS",Cardiology - Cardiac Cath Lab,"$10,989.65 "
2022006,"HC CATH/EP CARDIOVERSION, ELECTRIC, INT",Cardiology - Cardiac Cath Lab,"$2,992.85 "
2022007,HC CATH/EP PERCUT CORONARY THROMBECTOMY,Cardiology - Cardiac Cath Lab,"$7,212.51 "
2022009,"HC CATH/EP INTRAVASC US, HEART ADD-ON",Cardiology - Cardiac Cath Lab,"$6,098.96 "
2022014,HC CATH/EP REVISION OF AORTIC VALVE,Cardiology - Cardiac Cath Lab,"$11,939.37 "
2022016,HC CATH/EP REVISION OF PULMONARY VALVE,Cardiology - Cardiac Cath Lab,"$14,483.91 "
2022017,HC CATH/EP REVISION OF HEART CHAMBER,Cardiology - Cardiac Cath Lab,"$8,191.68 "
2022021,HC CATH/EP PRQ TRLUML P-ART BALO ANGIOP 1 VSL,Cardiology - Cardiac Cath Lab,"$21,120.45 "
2022022,HC CATH/EP PRQ TRLUML P-ART BALO ANGIOP EA VSL,Cardiology - Cardiac Cath Lab,"$21,120.45 "
2022055,HC CATH/EP INSERT/PLACE HEART CATHETER,Cardiology - Cardiac Cath Lab,"$6,951.40 "
2022056,HC CATH/EP BIOPSY OF HEART LINING,Cardiology - Cardiac Cath Lab,"$7,867.32 "
2022063,"HC CATH/EP RT HEART CATH, CONGENITAL",Cardiology - Cardiac Cath Lab,"$10,930.72 "
2022064,HC CATH/EP CMBN R HRT & RETROGRADE L HRT CATHJ CGEN ANOMALY,Cardiology - Cardiac Cath Lab,"$33,418.21 "
2022065,HC CATH/EP CMBN R HRT T-SEPTAL L HRT CATHJ NTC SEPTUM CGEN,Cardiology - Cardiac Cath Lab,"$41,756.45 "
2022066,HC CATH/EP CMBN R HRT T-SEPTAL L HRT CATHJ SEPTAL OPNG CGEN,Cardiology - Cardiac Cath Lab,"$29,548.93 "
2022081,HC CATH/EP TRANSCATH CLOSURE OF ASD,Cardiology - Cardiac Cath Lab,"$32,494.08 "
2022082,HC CATH/EP TRANSCATH CLOSURE OF VSD,Cardiology - Cardiac Cath Lab,"$61,235.62 "
2022573,HC CATH/EP SECONDY PERC THROMBECT,Cardiology - Cardiac Cath Lab,"$5,510.18 "
2022699,HC FEM/POPL REVSC STNT&ATHR,Cardiology - Cardiac Cath Lab,"$24,758.07 "
2022826,HC CATH/EP TRLUM PERIP ATHR ILC ART,Cardiology - Cardiac Cath Lab,"$28,228.27 "
2022828,HC CATH/EP P INSERTION CHEST TUBE,Cardiology - Cardiac Cath Lab,"$1,507.78 "
2022832,HC CATH/EP ILIAC REVASC,Cardiology - Cardiac Cath Lab,"$11,936.81 "
2022833,HC CATH/EP ILIAC REVASC W/STENT,Cardiology - Cardiac Cath Lab,"$14,558.15 "
2022834,HC CATH/EP ILIAC REVASC ADD-ON,Cardiology - Cardiac Cath Lab,"$7,041.00 "
2022835,HC CATH/EP ILIAC REVASC STENT ADDON,Cardiology - Cardiac Cath Lab,"$21,120.45 "
2022836,HC CATH/EP FEM/POPL REVAS W/TLA,Cardiology - Cardiac Cath Lab,"$13,138.68 "
